FIS TARIHI,BORC,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-07-21 00:00:00,1074,0,'-251420.78639566843,251420.78639566843,0,0,,
2019-07-22 00:00:00,4077132.7299999986,4115067.628234742,3867305.324139074,4362829.932330411,0,0,,
2019-07-23 00:00:00,2003448.8399999996,2039247.074962016,1805439.8528663474,2273054.2970576845,0,0,,
2019-07-24 00:00:00,5143177.000000001,5107378.765037985,4873571.542942316,5341185.987133653,0,0,,
2019-07-25 00:00:00,2190081.3100000005,2225879.544962017,1992072.3228663483,2459686.767057685,0,0,,
2019-07-26 00:00:00,873978.8699999998,836043.9717652563,588281.6676695878,1083806.2758609247,0,0,,
2019-07-27 00:00:00,58889.66,97384.70863474355,'-154036.07776092488,348805.495030412,0,0,,
2019-07-28 00:00:00,5642.7300000000005,44137.77863474356,'-207283.00776092487,295558.565030412,0,0,,
2019-07-29 00:00:00,1986429.83,1947934.7813652565,1696513.994969588,2199355.567760925,0,0,,
2019-07-30 00:00:00,2824337.06,2862832.108634744,2611411.3222390753,3114252.8950304124,0,0,,
2019-07-31 00:00:00,31185622.529999964,23301404.082604166,23039181.1107835,23563627.054424834,0.5785524153,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-08-01 00:00:00,7559.97,49923.01528928902,'-226760.62425637944,326606.65483495744,0,0,,
2019-08-05 00:00:00,4379.24,49838.509798379935,'-247067.34607228855,346744.3656690484,0,0,,
2019-08-21 00:00:00,2466,0,'-296905.8558706685,296905.8558706685,0,0,,
2019-08-27 00:00:00,519.43,45978.69979837994,'-250927.15607228855,342884.55566904845,0,0,,
2019-08-31 00:00:00,16422.98,0,'-322650.19514566846,322650.19514566846,0,0,,
2019-09-01 00:00:00,8274.74,58404.774816561745,'-269007.01507910667,385816.5647122301,0,0,,
2019-09-03 00:00:00,517991.85,468590.8631834382,145940.66803776973,791241.0583291067,0,0,,
2019-09-13 00:00:00,10600,60730.03481656175,'-266681.75507910666,388141.8247122301,0,0,,
2019-09-18 00:00:00,2466,49328.587325652654,'-256742.68614501576,355399.86079632107,0,0,,
2019-09-20 00:00:00,1440,0,'-306071.2734706684,306071.2734706684,0,0,,
2019-09-25 00:00:00,76400.82,30941.55020162007,'-265964.3056690484,327847.4060722886,0,0,,
2019-09-26 00:00:00,3362.06,0,'-306071.2734706684,306071.2734706684,0,0,,
2019-09-27 00:00:00,65417.06999999999,112279.65732565265,'-193791.61614501575,418350.9307963211,0,0,,
2019-09-30 00:00:00,11103.04,56562.30979837994,'-240343.54607228853,353468.16566904844,0,0,,
2019-10-01 00:00:00,28336580.700000007,21993073.216371343,21696167.360500675,22289979.07224201,0.5587130745,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-02 00:00:00,3374470.8299999987,8861725.659576409,8564819.80370574,9158631.515447076,0.5521377375,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-03 00:00:00,2791863.9000000004,2746404.6302016205,2449498.774330952,3043310.486072289,0,0,,
2019-10-04 00:00:00,2895861.2699999996,2942723.857325652,2636652.5838549836,3248795.1307963207,0,0,,
2019-10-05 00:00:00,340708.67,296026.7684074145,'-11500.97903825395,603554.515853083,0,0,,
2019-10-06 00:00:00,69257.59999999999,19127.565183438244,'-308284.22471223015,346539.35507910664,0,0,,
2019-10-07 00:00:00,3515673.210000002,3565803.2448165636,3238391.4549208954,3893215.0347122317,0,0,,
2019-10-08 00:00:00,5480766.400000003,5430636.365183441,5103224.575287772,5758048.15507911,0,0,,
2019-10-09 00:00:00,2893743.45,3608722.764328101,3281310.974432433,3936134.5542237693,0.3555908422,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-10-10 00:00:00,4103937.8600000003,4053807.8251834386,3726396.0352877704,4381219.615079107,0,0,,
2019-10-11 00:00:00,1749711.7699999996,1803447.290343834,1452487.1730981655,2154407.4075895026,0,0,,
2019-10-12 00:00:00,136027.00999999998,82291.48965616548,'-268668.627589503,433251.60690183396,0,0,,
2019-10-13 00:00:00,14819.59,64949.62481656174,'-262462.16507910663,392361.41471223015,0,0,,
2019-10-14 00:00:00,4043110.5199999996,3992980.485183438,3665568.6952877697,4320392.275079106,0,0,,
2019-10-15 00:00:00,1369733.06,1419863.0948165618,1092451.3049208934,1747274.8847122302,0,0,,
2019-10-16 00:00:00,4288411.589999998,4238281.555183436,3910869.765287767,4565693.345079104,0,0,,
2019-10-17 00:00:00,659902.1400000002,712513.9445620165,368893.0960163481,1056134.793107685,0,0,,
2019-10-18 00:00:00,2832254.9299999992,2778519.4096561647,2427559.292410496,3129479.5269018332,0,0,,
2019-10-19 00:00:00,9170.64,62906.1603438345,'-288053.956901834,413866.277589503,0,0,,
2019-10-20 00:00:00,381.4,52993.204562016304,'-290627.6439836521,396614.0531076847,0,0,,
2019-10-21 00:00:00,3522257.6199999996,3469645.8154379833,3126024.966892315,3813266.6639836514,0,0,,
2019-10-22 00:00:00,5054713.650000001,5104181.408525654,4781095.1106549855,5427267.706396323,0,0,,
