FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-05-24 00:00:00,2815888.420000004,2747457.142897053,2098215.4013828067,3396698.8844112996,0,0,,
2019-05-25 00:00:00,112935.81000000001,181367.0871029509,'-467874.6544112953,830608.8286171971,0,0,,
2019-05-26 00:00:00,39019.64,0,'-649241.7415142462,649241.7415142462,0,0,,
2019-05-27 00:00:00,3050533.779999999,2982166.231187957,2333529.1118337107,3630803.350542203,0,0,,
2019-05-28 00:00:00,2477787.2100000004,2546035.7785938606,1898527.4840596146,3193544.0731281065,0,0,,
2019-05-29 00:00:00,1635077.4900000002,1566709.9411879585,918072.8218337123,2215347.0605422044,0,0,,
2019-05-30 00:00:00,1385755.41,1454122.9588120417,805485.8394577955,2102760.078166288,0,0,,
2019-05-31 00:00:00,20333609.680000015,20265178.402897064,19615936.661382817,20914420.14441131,0,0,,
2019-06-01 00:00:00,198250.63,266763.44666658726,'-383251.90145765885,916778.7947908334,0,0,,
2019-06-02 00:00:00,43,0,'-650015.3481242461,650015.3481242461,0,0,,
2019-06-03 00:00:00,12886286.089999998,12817773.273333412,12167757.925209165,13467788.621457659,0,0,,
2019-06-04 00:00:00,3771,72202.2771029509,'-577039.4644112953,721444.0186171972,0,0,,
2019-06-05 00:00:00,114,0,'-650015.3481242461,650015.3481242461,0,0,,
2019-06-06 00:00:00,36586.33,105099.14666658726,'-544916.2014576589,755114.4947908333,0,0,,
2019-06-07 00:00:00,44888.920000000006,0,'-668775.2509742461,668775.2509742461,0,0,,
2019-06-08 00:00:00,3074.23,0,'-668775.2509742461,668775.2509742461,0,0,,
2019-06-09 00:00:00,93,70583.14503022362,'-598192.1059440224,739358.3960044697,0,0,,
2019-06-10 00:00:00,1722284.1,1653771.2833334128,1003755.9352091667,2303786.631457659,0,0,,
2019-06-11 00:00:00,617038.6000000002,685551.4166665875,35536.06854234135,1335566.7647908335,0,0,,
2019-06-12 00:00:00,1825023.0199999998,1756510.2033334125,1106494.8552091664,2406525.5514576584,0,0,,
2019-06-13 00:00:00,2663441.0700000008,2731953.886666588,2081938.538542342,3381969.234790834,0,0,,
2019-06-14 00:00:00,4248048.540000007,4179617.2628970556,3530375.5213828096,4828859.004411302,0,0,,
