FIS TARIHI,Bakiye,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-10-29 00:00:00,14054280,8380055,'-28679725,45439836,0,0,,
2019-10-30 00:00:00,507031794,512787668,475194617,550380718,0,0,,
2019-10-31 00:00:00,6193596823,4138382397,4100495398,4176269396,0.633680656,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-11-01 00:00:00,153449720,159250600,121363601,197137599,0,0,,
2019-11-02 00:00:00,4710690724,2548933876,2511046877,2586820875,0.6400922675,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-11-04 00:00:00,544828804,550984527,510779961,591189093,0,0,,
2019-11-05 00:00:00,195039944,188675850,147110357,230241342,0,0,,
2019-11-06 00:00:00,61413964,55033236,13359109,96707364,0,0,,
2019-11-07 00:00:00,90016492,96413853,54631090,138196616,0,0,,
2019-11-08 00:00:00,384197545,377632362,334753507,420511216,0,0,,
2019-11-09 00:00:00,1471544,8204550,'-35770396,52179496,0,0,,
2019-11-11 00:00:00,592098857,585359438,541342609,629376267,0,0,,
2019-11-12 00:00:00,103078747,96332915,52274203,140391628,0,0,,
2019-11-13 00:00:00,297900359,304696227,260310712,349081743,0,0,,
2019-11-14 00:00:00,102064330,108910235,64197916,153622554,0,0,,
2019-11-15 00:00:00,478183882,471271015,426121350,516420679,0,0,,
2019-11-16 00:00:00,126403077,133382906,87795896,178969916,0,0,,
2019-11-17 00:00:00,5358518,0,'-47405194,47405194,0,0,,
2019-11-18 00:00:00,103513301,101972469,52749090,151195848,0,0,,
2019-11-19 00:00:00,103593691,111136245,61873940,160398549,0,0,,
2019-11-20 00:00:00,469750982,462202468,412901238,511503698,0,0,,
2019-11-21 00:00:00,32231655,39832539,'-9810735,89475814,0,0,,
2019-11-22 00:00:00,1072935714,1065282459,1015297140,1115267779,0,0,,
2019-11-23 00:00:00,52996680,45314806,'-4857436,95487048,0,0,,
2019-11-24 00:00:00,8483170,16193664,'-34165500,66552829,0,0,,
2019-11-25 00:00:00,636680329,628527846,575281939,681773752,0,0,,
2019-11-26 00:00:00,441326419,449920891,393788243,506053540,0,0,,
2019-11-27 00:00:00,368987946,377140429,323894523,430386336,0,0,,
2019-11-28 00:00:00,248079444,240368950,190009785,290728114,0,0,,
2019-11-29 00:00:00,137478147,145630630,92384724,198876537,0,0,,
2019-11-30 00:00:00,7422600298,6683834309,6633475145,6734193474,0.529523332,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-12-01 00:00:00,5907002166,6173242806,6119996899,6226488712,0.4606264863,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-12-02 00:00:00,268403401,276997873,220865225,333130522,0,0,,
2019-12-03 00:00:00,158036433,149883950,96638043,203129856,0,0,,
2019-12-04 00:00:00,292739060,300449554,250090390,350808719,0,0,,
2019-12-05 00:00:00,449516134,441363651,388117744,494609557,0,0,,
2019-12-06 00:00:00,103246546,95536052,45176887,145895216,0,0,,
2019-12-07 00:00:00,7835494,15987977,'-37257929,69233884,0,0,,
2019-12-08 00:00:00,11400,0,'-56132648,56132648,0,0,,
2019-12-09 00:00:00,353201185,344498709,287660660,401336757,0,0,,
2019-12-10 00:00:00,110139451,118733923,62601275,174866572,0,0,,
2019-12-11 00:00:00,2222669331,2213966855,2157128806,2270804903,0,0,,
2019-12-12 00:00:00,108076654,116671126,60538478,172803775,0,0,,
2019-12-13 00:00:00,532374011,523671535,466833486,580509583,0,0,,
2019-12-14 00:00:00,5199055,13793527,'-42339121,69926176,0,0,,
2019-12-15 00:00:00,16308978,25011454,'-31826594,81849503,0,0,,
2019-12-16 00:00:00,238179096,229368616,171825168,286912064,0,0,,
2019-12-17 00:00:00,81425655,90128131,33290083,146966180,0,0,,
2019-12-18 00:00:00,647115372,638520900,582388251,694653548,0,0,,
2019-12-19 00:00:00,190239317,198391800,145145894,251637707,0,0,,
2019-12-20 00:00:00,1650489361,1641894889,1585762240,1698027537,0,0,,
2019-12-21 00:00:00,4459513,12611996,'-40633910,65857903,0,0,,
2019-12-23 00:00:00,1215261956,1206667484,1150534835,1262800132,0,0,,
2019-12-24 00:00:00,537220866,1387532416,1330694368,1444370465,0.5315917987,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-12-25 00:00:00,338172014,329361534,271818086,386904982,0,0,,
2019-12-26 00:00:00,476457894,485490090,426498560,544481620,0,0,,
2019-12-27 00:00:00,1591366346,1582555866,1525012418,1640099314,0,0,,
2019-12-28 00:00:00,1528821,0,'-56838048,56838048,0,0,,
2019-12-29 00:00:00,3894492,12704972,'-44838476,70248420,0,0,,
2019-12-30 00:00:00,476285648,0,'-798224692,'-684548595,0.5588456749,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-12-31 00:00:00,46425451356,832623199,776490551,888755848,0.9078575006,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
